date,violet,blue,green,lightGreen,yellow,lightOrange,orange,lightRed,red,uv
2017-12-28,2773.3738343984246,3623.0770355329687,4733.111361546285,6183.236773905099,8077.650002657445,10552.471456502768,13785.525964070166,18009.120127867634,23526.73438977075,30734.829193032852
2018-01-27,3169.79497676093,4140.953248064872,5409.653914014738,7067.057683660309,9232.254983039593,12060.823030909953,15756.004621856328,20583.311852576626,26889.60412163839,35128.0112256532
2018-02-26,3622.8798548819714,4732.853768906007,6182.90026031723,8077.210388409547,10551.897153728907,13784.775707049057,18008.14000793205,23525.45398177575,30733.15649505566,40149.146914710764
2018-03-28,4140.727882760961,5409.359501538828,7066.6730694163825,9231.752531109954,12060.166638315075,15755.147124425836,20582.191636033906,26888.140694393056,35126.09943519063,45887.99484332476
2018-04-26,4732.59619028483,6182.56376504362,8076.770798087008,10551.322882210628,13784.025490859583,18007.159941338046,23524.173643465067,30731.483888112587,40146.96185630653,52447.143527462154
2018-05-26,5409.065105085889,7066.288476104525,9231.250106525526,12059.5102814434,15754.28967366338,20581.071480457318,26886.67734679259,35124.187748774435,45885.49745654346,59943.84530380838
2018-06-25,6182.227288083271,8076.331231688528,10550.748641946237,13783.275315499524,18006.179928082736,23522.89337483493,30729.81137219871,40144.77691682093,52444.28916863893,68512.11235032124
2018-07-25,7065.9039037235925,9230.747709284817,12058.853960292983,15753.432269566421,20579.95138584356,26885.21407883268,35122.27616639898,45883.00020567878,59940.58294799195,78305.11230824931
2018-08-24,8075.891689212802,10550.174432934025,13782.525180966655,18005.1999681632,23521.61317588152,30728.13894730904,40142.59209624741,52441.43496515995,68508.38367914423,89497.90633011753
2018-09-23,9230.245339386343,12058.197674861885,15752.574912132428,20578.831352189307,26883.750890508978,35120.36468805859,45880.5030907233,59937.320769724436,78300.85066742028,102290.57849944064
2018-10-23,10549.600255172303,13781.775087258764,18004.220061576554,23520.33304660107,30726.46661343865,40140.407394579575,52438.58091701683,68504.65521089469,89493.03553789866,116911.81256414636
2018-11-22,12057.541425148156,15751.71760135885,20577.711379491237,26882.28778181715,35118.453313747596,45878.006111669645,59934.05876899618,78296.5892585248,102285.01148481148,133622.9799219371
2018-12-22,13781.025034373615,18003.240208319876,23519.052986989765,30724.794370582567,40138.22281181091,52435.727024201085,68500.92694556157,89488.16501076552,116905.44981030907,152722.81193503694
2019-01-21,15750.86033724315,20576.59146774604,26880.824752752866,35116.542043460344,45875.50926851041,59930.79694579754,78292.32808155024,102279.4447731589,133615.70768733905,174552.7400973301
2019-02-20,18002.260408390277,23517.77299704383,30723.122218735847,40136.038347934955,52432.87328670426,68497.1988831338,89483.29474870361,116899.08740275526,152714.50022010942,199502.99951553016
2019-03-22,20575.4716169504,26879.361803311796,35114.63087719118,45873.012561238196,59927.53530011884,78288.067136484,102273.87836446647,133608.4358485217,174543.24032059667,228019.60481113318
2019-04-21,23516.49307675947,30721.45015789354,40133.85400294524,52430.01970451792,68493.47102360037,89478.42475169864,116892.72534146623,152706.1889575349,199492.141857541,260612.32314543705
2019-05-21,26877.898933489596,35112.719814934426,45870.515989845604,59924.273831950406,78283.80642331342,102268.31225871765,133601.16440546353,174533.7410608746,228007.19517874726,297863.7868946327
2019-06-20,30719.778188050695,40131.6697768353,52427.1662776336,68489.74336695022,89473.55501973607,116886.36362642302,152697.87814728863,199481.2847904639,260598.1397021838,340439.90887452604
2019-07-20,35110.80885668444,45868.019554325256,59921.012541282595,78279.5459420259,102262.74645589595,133593.89335814293,174524.24231813577,227994.78622173736,297847.57609512925,389101.7862990314
2019-08-19,40129.48566959866,52424.31300604285,68486.0159131723,89468.68555280151,116880.0022576068,152689.567789346,199470.42831426673,260583.9570308436,340421.38093206193,444719.3062694004
2019-09-18,45865.52325466975,59917.75142810575,78275.28569260883,102257.18095598489,133586.62270653842,174514.7440923521,227982.37794006674,297831.3661778748,389080.61000529706,508286.6960079774
2019-10-18,52421.459889737234,68482.28866225561,89463.81635088057,116873.64123499875,152681.25788368244,199459.57242891737,260569.7751313745,340402.85399795393,444695.10307375726,580940.2958148179
2019-11-17,59914.49049241019,78271.02567504958,102251.61575896802,133579.35245062847,174505.24638349545,227969.97033369867,297815.15714282135,389059.4348640514,508259.0332504293,663978.8724592375
2019-12-17,68478.56161418908,89458.94741395878,116867.28055858002,152672.94843027325,199448.7171343836,260555.59400373444,340384.3280721471,444670.9011953375,580908.6789917153,758886.8361315612
2020-01-01,73209.25863779917,95639.03014774708,124940.8101898059,163220.03712051263,213227.21116622933,278555.5277637775,363899.06158490217,475390.0526959574,621039.5300773195,811312.9328882518
